Date,Cost
2025-03-12,834.85
2025-03-12,882.64
2025-03-12,415.52
2025-03-12,633.08
2025-03-12,208.23
2025-03-12,1045.6
2025-03-12,175.6
2025-03-12,7358.26
2025-03-12,3973.23
2025-03-12,991.75
2025-03-12,658.5
2025-03-12,638.36
2025-03-12,0.71
2025-03-12,3401.26
2025-03-12,2622.44
2025-03-12,13283.65
2025-03-13,1457.38
2025-03-13,832.66
2025-03-13,811.67
2025-03-13,414.69
2025-03-13,570.2
2025-03-13,207
2025-03-13,1040.33
2025-03-13,159.91
2025-03-13,8730.49
2025-03-13,3946.28
2025-03-13,981.06
2025-03-13,637.2
2025-03-13,613.49
2025-03-13,303.53
2025-03-13,2114.68
2025-03-13,4954.22
2025-03-13,5002.46
2025-03-14,1996.46
2025-03-14,1298.11
2025-03-14,6343.54
2025-03-14,801.69
2025-03-14,752.74
2025-03-14,998.74
2025-03-14,1484.95
2025-03-14,100.54
2025-03-14,6865.14
2025-03-14,3922.45
2025-03-14,644.18
2025-03-14,477.56
2025-03-14,486.87
2025-03-14,1051.87
2025-03-14,399.72
2025-03-14,3912.3
2025-03-14,4906.76
2025-03-15,2089.53
2025-03-15,1358.36
2025-03-15,2228.71
2025-03-15,835.63
2025-03-15,782.45
2025-03-15,1046.06
2025-03-15,1585.63
2025-03-15,200.23
2025-03-15,5822.24
2025-03-15,3909.72
2025-03-15,670.38
2025-03-15,1070.25
2025-03-15,843.27
2025-03-15,2272.48
2025-03-15,4908.82
2025-03-15,5596.89
2025-03-16,2120.08
2025-03-16,1353.84
2025-03-16,1371
2025-03-16,858.99
2025-03-16,783.23
2025-03-16,1044.92
2025-03-16,1547.72
2025-03-16,214.94
2025-03-16,9079.66
2025-03-16,4031.47
2025-03-16,633.54
2025-03-16,729.85
2025-03-16,2069.49
2025-03-16,4912.63
2025-03-16,5495.35
2025-03-17,2057.01
2025-03-17,1349.45
2025-03-17,1272.99
2025-03-17,831.37
2025-03-17,787.05
2025-03-17,1048.94
2025-03-17,1534.03
2025-03-17,242.59
2025-03-17,9438.65
2025-03-17,3846.52
2025-03-17,636.56
2025-03-17,814.7
2025-03-17,691.89
2025-03-17,8683.4
2025-03-17,8076.45
2025-03-17,4937.19
2025-03-18,2072.01
2025-03-18,1360.34
2025-03-18,1270.15
2025-03-18,820.32
2025-03-18,767.65
2025-03-18,1026.46
2025-03-18,1431.59
2025-03-18,291.63
2025-03-18,5057.64
2025-03-18,3879.53
2025-03-18,291.22
2025-03-18,734.43
2025-03-18,776.97
2025-03-18,5146.96
2025-03-18,7014.41
2025-03-18,5023.1
2025-03-19,2084.85
2025-03-19,1354.55
2025-03-19,1267.05
2025-03-19,813.78
2025-03-19,783.4
2025-03-19,1034.49
2025-03-19,1445.45
2025-03-19,201.59
2025-03-19,3810.07
2025-03-19,3809.85
2025-03-19,76.2
2025-03-19,402.3
2025-03-19,462.16
2025-03-19,2342.11
2025-03-19,5318.38
2025-03-19,4454.64
2025-03-20,2019.12
2025-03-20,1312.09
2025-03-20,1274.58
2025-03-20,820.45
2025-03-20,782.35
2025-03-20,1025.96
2025-03-20,1378.99
2025-03-20,105.96
2025-03-20,3161.52
2025-03-20,3832.33
2025-03-20,100.39
2025-03-20,787.52
2025-03-20,808.08
2025-03-20,896.03
2025-03-20,2620.18
2025-03-20,4509.66
2025-03-21,2045.99
2025-03-21,1330.78
2025-03-21,1954.24
2025-03-21,1101.38
2025-03-21,960.88
2025-03-21,1298.03
2025-03-21,1862.79
2025-03-21,88.25
2025-03-21,2897.47
2025-03-21,3828.93
2025-03-21,212.28
2025-03-21,556.89
2025-03-21,559.38
2025-03-21,469.34
2025-03-21,2285.73
2025-03-21,4894.32
2025-03-22,2033.37
2025-03-22,1322.05
2025-03-22,2082
2025-03-22,1146.07
2025-03-22,1006.64
2025-03-22,1356.55
2025-03-22,1635.47
2025-03-22,219.82
2025-03-22,1987.8
2025-03-22,3753.71
2025-03-22,757.26
2025-03-22,562
2025-03-22,210.47
2025-03-22,1876.36
2025-03-22,3666.88
2025-03-23,2029.3
2025-03-23,1324.32
2025-03-23,2058.48
2025-03-23,1141.23
2025-03-23,999.26
2025-03-23,1349.63
2025-03-23,1585
2025-03-23,607.82
2025-03-23,1634.83
2025-03-23,3837.49
2025-03-23,1206.68
2025-03-23,1020.35
2025-03-23,175.75
2025-03-23,3583.69
2025-03-23,7505.01
2025-03-24,2013.26
2025-03-24,1314.66
2025-03-24,2417.51
2025-03-24,1795.1
2025-03-24,968.97
2025-03-24,1343.83
2025-03-24,1800.07
2025-03-24,478.1
2025-03-24,4339.71
2025-03-24,3761.94
2025-03-24,1117.39
2025-03-24,663.72
2025-03-24,813.52
2025-03-24,1141.3
2025-03-24,6475.8
2025-03-24,6141.73
2025-03-25,2000.8
2025-03-25,1288.31
2025-03-25,2333.16
2025-03-25,1877.35
2025-03-25,954.09
2025-03-25,1332.61
2025-03-25,1873.74
2025-03-25,316.35
2025-03-25,4005.27
2025-03-25,3036.13
2025-03-25,0.06
2025-03-25,625.9
2025-03-25,773.43
2025-03-25,6207.3
2025-03-25,4385.36
2025-03-26,1985.04
2025-03-26,1290.48
2025-03-26,2373.01
2025-03-26,1859.71
2025-03-26,938.48
2025-03-26,1320.51
2025-03-26,1865.01
2025-03-26,326.1
2025-03-26,2607.25
2025-03-26,3104.95
2025-03-26,23.66
2025-03-26,899.89
2025-03-26,760.54
2025-03-26,6210.01
2025-03-26,4728.93
2025-03-27,1963.85
2025-03-27,1276.57
2025-03-27,2356.11
2025-03-27,1846.37
2025-03-27,983.96
2025-03-27,1324.87
2025-03-27,1833.99
2025-03-27,179.69
2025-03-27,2537.12
2025-03-27,2701.3
2025-03-27,2245.23
2025-03-27,725.28
2025-03-27,475.74
2025-03-27,6567.35
2025-03-27,4255.13
2025-03-28,1939.93
2025-03-28,1261.64
2025-03-28,2296.75
2025-03-28,1820.63
2025-03-28,925.32
2025-03-28,1281.22
2025-03-28,1829.88
2025-03-28,588.99
2025-03-28,2242.95
2025-03-28,2836.62
2025-03-28,8280.49
2025-03-28,590.92
2025-03-28,525.95
2025-03-28,4230.28
2025-03-28,3755.1
2025-03-29,1914.32
2025-03-29,1242.98
2025-03-29,2407.59
2025-03-29,1791.22
2025-03-29,884.25
2025-03-29,1271.97
2025-03-29,1790.71
2025-03-29,709.17
2025-03-29,1479.38
2025-03-29,2762.84
2025-03-29,857.26
2025-03-29,2502.62
2025-03-29,3601.08
2025-03-30,1863.57
2025-03-30,1211.01
2025-03-30,2227.54
2025-03-30,1743.46
2025-03-30,860.05
2025-03-30,1237.42
2025-03-30,1746.57
2025-03-30,708.77
2025-03-30,911.44
2025-03-30,2725.79
2025-03-30,585.36
2025-03-30,2648.09
2025-03-30,6299.24
2025-03-31,1500.63
2025-03-31,1000.24
2025-03-31,1640.79
2025-03-31,1659.87
2025-03-31,719.63
2025-03-31,1179.37
2025-03-31,1661.03
2025-03-31,865.28
2025-03-31,1730.52
2025-03-31,2593.95
2025-03-31,908.42
2025-03-31,627.74
2025-03-31,5968.28
2025-03-31,4491.85
2025-04-01,1824.95
2025-04-01,1318
2025-04-01,1825.64
2025-04-01,1337.29
2025-04-01,3182.26
2025-04-01,2753.51
2025-04-01,2812.1
2025-04-01,631.11
2025-04-01,527.04
2025-04-01,395
2025-04-01,6375.55
2025-04-01,3993.57
2025-04-02,207.22
2025-04-02,496.05
2025-04-02,291.17
2025-04-02,259
2025-04-02,98.24
2025-04-02,3005.12
2025-04-02,1670.31
2025-04-02,3428.66
2025-04-02,668.37
2025-04-02,852.5
2025-04-02,706.05
2025-04-02,6740.73
2025-04-02,6742.5
2025-04-03,399.65
2025-04-03,2908.2
2025-04-03,3512.19
2025-04-03,1539.14
2025-04-03,789.68
2025-04-03,646.3
2025-04-03,6049.36
2025-04-03,5638.71
2025-04-04,418.49
2025-04-04,4550.95
2025-04-04,2524.94
2025-04-04,2789.94
2025-04-04,3640.03
2025-04-04,1024.83
2025-04-04,877.83
2025-04-04,441.81
2025-04-04,4561.11
2025-04-04,6095.83
2025-04-05,418.43
2025-04-05,7516.95
2025-04-05,6422.21
2025-04-05,2881.87
2025-04-05,3415.16
2025-04-05,708.82
2025-04-05,291.57
2025-04-05,6284.22
2025-04-05,3809.46
2025-04-06,417.42
2025-04-06,6314.54
2025-04-06,5638.72
2025-04-06,2637.15
2025-04-06,3547.29
2025-04-06,790.58
2025-04-06,205.31
2025-04-06,7311.53
2025-04-06,1678.52
2025-04-07,417
2025-04-07,5459.41
2025-04-07,1008.08
2025-04-07,6020.56
2025-04-07,3216.97
2025-04-07,3604.23
2025-04-07,1075.62
2025-04-07,795.33
2025-04-07,1394.37
2025-04-07,8506.2
2025-04-07,4047.61
2025-04-08,416.02
2025-04-08,5460.89
2025-04-08,640.89
2025-04-08,6050.25
2025-04-08,3675.69
2025-04-08,1917.88
2025-04-08,703.58
2025-04-08,527.33
2025-04-08,1467.81
2025-04-08,5928.86
2025-04-08,2814.56
2025-04-09,415.49
2025-04-09,3203.27
2025-04-09,899.48
2025-04-09,634.58
2025-04-09,3326.55
2025-04-09,6007.47
2025-04-09,2912.3
2025-04-09,587.75
2025-04-09,510.64
2025-04-09,1619.53
2025-04-09,6164.58
2025-04-09,2899.4
2025-04-10,415.32
2025-04-10,1760.97
2025-04-10,943.81
2025-04-10,599.51
2025-04-10,1906.57
2025-04-10,6264.88
2025-04-10,2493.27
2025-04-10,430.17
2025-04-10,484.63
2025-04-10,891.98
2025-04-10,6144.11
2025-04-10,2481.68
2025-04-11,413.46
2025-04-11,1780.83
2025-04-11,943.48
2025-04-11,628.45
2025-04-11,1900.69
2025-04-11,5802.26
2025-04-11,2501.8
2025-04-11,954.47
2025-04-11,522.67
2025-04-11,676.64
2025-04-11,5628.35
2025-04-11,2482.72
2025-04-12,412.01
2025-04-12,1786.91
2025-04-12,943.61
2025-04-12,627.11
2025-04-12,1904.18
2025-04-12,5273.57
2025-04-12,2455.91
2025-04-12,541.04
2025-04-12,403.41
2025-04-12,4376.14
2025-04-12,1391.64
2025-04-13,410.46
2025-04-13,1766.72
2025-04-13,938.77
2025-04-13,630.3
2025-04-13,1903.89
2025-04-13,2941.46
2025-04-13,2499.29
2025-04-13,642.29
2025-04-13,302.13
2025-04-13,3340.68
2025-04-13,1162.23
2025-04-14,999.08
2025-04-14,1787.04
2025-04-14,3102.03
2025-04-14,2009.02
2025-04-14,899.03
2025-04-14,6558.86
2025-04-14,2488.93
2025-04-14,773.19
2025-04-14,547.99
2025-04-14,1457.68
2025-04-14,9978.51
2025-04-14,2010.32
2025-04-15,1055.09
2025-04-15,1781.45
2025-04-15,3129.23
2025-04-15,2084.38
2025-04-15,718.58
2025-04-15,5089.96
2025-04-15,2342.34
2025-04-15,667.93
2025-04-15,520.89
2025-04-15,1077.6
2025-04-15,6143.39
2025-04-15,2043.29
2025-04-16,1032.48
